companyName,managerId,companyId
ABOBE,2,1
ACCENTURE,2,2
ALSTOM,2,3
AMADEUS LABS,2,4
AMAZON,2,5
APPVIEWX,2,6
ARCADIA,2,7
ARISTA,2,8
ATLASSIAN,2,9
BNP PARIBAS,2,10
BNP PARIBAS ISPL,2,11
BNY MELLON,2,12
BOSCH,2,13
CAMS(COMPUTER AGE MANAGEMENT SEVICES),2,14
CAPEGEMINI,2,15
CATERPILLAR,2,16
CERNER,2,17
CHARGEBEE,2,18
CISCO,2,19
COGNIZANT,2,20
COMVIVA,2,21
DATAFOUNDRY.AI,2,22
E2OPEN,2,23
EPIKINDIFI,2,24
EY,2,25
FIDILITY,2,26
FRACTAL ANALYSIS,2,27
GE,2,28
GENPACT,2,29
HASHED IN,2,30
HONEYWELL,2,31
HYPERVERGE,2,32
IBM,2,33
INCREFF,2,34
INFOSYS,2,35
INTUIT,2,36
KLA TENCOR,2,37
KPMG,2,38
L&T,2,39
LATENT VIEW ANALYTICS,2,40
LISTER TECHNOLOGIES,2,41
MCKINSEY,2,42
MERCEDES BENZ,2,43
MICRO FOCUS,2,44
MICROCHIP,2,45
MICROSOFT,2,46
NIELSENIQ,2,47
NOKIA,2,48
NPCI,2,49
OPTUM,2,50
ORACLE,2,51
PAY U,2,52
PROVIDENCE,2,53
PWC,2,54
RAZOR PAY,2,55
ROBERT BOSCH,2,56
ROOT QUOTIENT,2,57
SAHAJ,2,58
SAMSUNG ELECTRO-MECHANICS,2,59
SAP LABS,2,60
SCHLUMBERGER,2,61
SCHNEIDER ELECTRIC,2,62
SIGNIFY INNOVATION LABS,2,63
SS&C EZE,2,64
TALLY SOLUTIONS,2,65
TARGET,2,66
TATA COMMUNICATIONS,2,67
TCS,2,68
THE MATH COMPANY,2,69
TIGER ANALYTICS,2,70
TOSHIBA,2,71
TREDENCE ANALYTICS,2,72
TRIANZ,2,73
VALEO,2,74
VANENBURG,2,75
VERIZON,2,76
VERSA NETWORKS,2,77
VISTEON CORPORATION,2,78
VM WARE,2,79
VOLVO,2,80
WIPRO,2,81
WONKSKNOW TECHNOLOGIES,2,82
ZOOM RX,2,83
ZSCALER,2,84
[24]7.AI,2,85
Accolite Digital,2,86
Accubits Technologies Inc,2,87
Aptean,2,88
BETSOL,2,89
Cimpress,2,90
Dassault Systèmes,2,91
Detect Technologies,2,92
Ericsson,2,93
EXL,2,94
FIRE EYE,2,95
Flipkart,2,96
H&R,2,97
HCL,2,98
HSBC,2,99
Informatica,2,100
INFOSTRETCH,2,101
Infra.Market,2,102
JP Morgan Chase,2,103
Juniper Networks,2,104
Mathworks,2,105
Multicoreware,2,106
MUSIGMA,2,107
NeilsenIQ,2,108
New Street Technologies,2,109
Nucleus Software,2,110
Sterlite Technology,2,111
Virtusa Corporation,2,112
WIZFREIGHT,2,113
ZF Technologies,2,114